Generation,Tit-4-Tat,Grudger,Always Cooperate,Always Defect,Tit-4-Tat,Grudger,Always Cooperate,Always Defect,Total,Tit-4-Tat,Grudger,Always Cooperate,Always Defect,
0,25.0,25.0,25.0,25.0,30250,30250,27750,29875,118125,1210,1210,1110,1195,
1,28.0,27.0,20.0,25.0,33880,32670,22200,27875,116625,1210,1210,1110,1115,
2,29.0,31.0,15.0,25.0,35090,37510,16650,25875,115125,1210,1210,1110,1035,
3,33.0,32.0,15.0,20.0,41745,40480,17775,21100,121100,1265,1265,1185,1055,
4,35.0,35.0,15.0,15.0,46200,46200,18900,16125,127425,1320,1320,1260,1075,
5,36.0,39.0,15.0,10.0,49500,53625,20025,10950,134100,1375,1375,1335,1095,
6,39.0,41.0,15.0,5.0,55770,58630,21150,5575,141125,1430,1430,1410,1115,
7,40.0,45.0,15.0,0.0,59400,66825,22275,0,148500,1485,1485,1485,0,
8,39.0,45.0,16.0,0.0,57915,66825,23760,0,148500,1485,1485,1485,0,
9,40.0,44.0,16.0,0.0,59400,65340,23760,0,148500,1485,1485,1485,0,
10,39.0,45.0,16.0,0.0,57915,66825,23760,0,148500,1485,1485,1485,0,
11,39.0,45.0,16.0,0.0,57915,66825,23760,0,148500,1485,1485,1485,0,
12,36.0,48.0,16.0,0.0,53460,71280,23760,0,148500,1485,1485,1485,0,
13,35.0,51.0,14.0,0.0,51975,75735,20790,0,148500,1485,1485,1485,0,
14,38.0,49.0,13.0,0.0,56430,72765,19305,0,148500,1485,1485,1485,0,
15,41.0,46.0,13.0,0.0,60885,68310,19305,0,148500,1485,1485,1485,0,
16,41.0,45.0,14.0,0.0,60885,66825,20790,0,148500,1485,1485,1485,0,
17,42.0,45.0,13.0,0.0,62370,66825,19305,0,148500,1485,1485,1485,0,
18,43.0,43.0,14.0,0.0,63855,63855,20790,0,148500,1485,1485,1485,0,
19,43.0,43.0,14.0,0.0,63855,63855,20790,0,148500,1485,1485,1485,0,
