Generation,Tit-4-Tat,Grudger,Always Cooperate,Always Defect,Tit-4-Tat,Grudger,Always Cooperate,Always Defect,Total,Tit-4-Tat,Grudger,Always Cooperate,Always Defect,
0,98.0,1.0,1.0,0.0,145530,1485,1485,0,148500,1485,1485,1485,0,
1,98.0,1.0,1.0,0.0,145530,1485,1485,0,148500,1485,1485,1485,0,
2,97.0,2.0,1.0,0.0,144045,2970,1485,0,148500,1485,1485,1485,0,
3,97.0,2.0,1.0,0.0,144045,2970,1485,0,148500,1485,1485,1485,0,
4,98.0,2.0,0.0,0.0,145530,2970,0,0,148500,1485,1485,0,0,
5,98.0,2.0,0.0,0.0,145530,2970,0,0,148500,1485,1485,0,0,
6,98.0,2.0,0.0,0.0,145530,2970,0,0,148500,1485,1485,0,0,
7,97.0,3.0,0.0,0.0,144045,4455,0,0,148500,1485,1485,0,0,
8,97.0,3.0,0.0,0.0,144045,4455,0,0,148500,1485,1485,0,0,
9,98.0,2.0,0.0,0.0,145530,2970,0,0,148500,1485,1485,0,0,
10,98.0,2.0,0.0,0.0,145530,2970,0,0,148500,1485,1485,0,0,
11,97.0,3.0,0.0,0.0,144045,4455,0,0,148500,1485,1485,0,0,
12,96.0,4.0,0.0,0.0,142560,5940,0,0,148500,1485,1485,0,0,
13,96.0,4.0,0.0,0.0,142560,5940,0,0,148500,1485,1485,0,0,
14,96.0,4.0,0.0,0.0,142560,5940,0,0,148500,1485,1485,0,0,
15,97.0,3.0,0.0,0.0,144045,4455,0,0,148500,1485,1485,0,0,
16,97.0,3.0,0.0,0.0,144045,4455,0,0,148500,1485,1485,0,0,
17,96.0,4.0,0.0,0.0,142560,5940,0,0,148500,1485,1485,0,0,
18,97.0,3.0,0.0,0.0,144045,4455,0,0,148500,1485,1485,0,0,
19,96.0,4.0,0.0,0.0,142560,5940,0,0,148500,1485,1485,0,0,
