Generation,Tit-4-Tat,Grudger,Always Cooperate,Always Defect,Tit-4-Tat,Grudger,Always Cooperate,Always Defect,Total,Tit-4-Tat,Grudger,Always Cooperate,Always Defect,
0,1.0,0.0,98.0,1.0,1474,0,144060,2459,147993,1474,0,1470,2459,
1,2.0,0.0,96.0,2.0,2926,0,139680,4846,147452,1463,0,1455,2423,
2,4.0,0.0,92.0,4.0,5764,0,131100,9404,146268,1441,0,1425,2351,
3,5.0,0.0,87.0,8.0,6985,0,118755,18040,143780,1397,0,1365,2255,
4,5.0,0.0,82.0,13.0,6710,0,105780,28015,140505,1342,0,1290,2155,
5,5.0,0.0,77.0,18.0,6435,0,93555,36990,136980,1287,0,1215,2055,
6,5.0,0.0,72.0,23.0,6160,0,82080,44965,133205,1232,0,1140,1955,
7,5.0,0.0,67.0,28.0,5885,0,71355,51940,129180,1177,0,1065,1855,
8,5.0,0.0,62.0,33.0,5610,0,61380,57915,124905,1122,0,990,1755,
9,5.0,0.0,57.0,38.0,5335,0,52155,62890,120380,1067,0,915,1655,
10,5.0,0.0,52.0,43.0,5060,0,43680,66865,115605,1012,0,840,1555,
11,5.0,0.0,47.0,48.0,4785,0,35955,69840,110580,957,0,765,1455,
12,5.0,0.0,42.0,53.0,4510,0,28980,71815,105305,902,0,690,1355,
13,5.0,0.0,37.0,58.0,4235,0,22755,72790,99780,847,0,615,1255,
14,5.0,0.0,32.0,63.0,3960,0,17280,72765,94005,792,0,540,1155,
15,5.0,0.0,27.0,68.0,3685,0,12555,71740,87980,737,0,465,1055,
16,5.0,0.0,22.0,73.0,3410,0,8580,69715,81705,682,0,390,955,
17,5.0,0.0,17.0,78.0,3135,0,5355,66690,75180,627,0,315,855,
18,5.0,0.0,12.0,83.0,2860,0,2880,62665,68405,572,0,240,755,
19,5.0,0.0,7.0,88.0,2585,0,1155,57640,61380,517,0,165,655,
