Generation,Tit-4-Tat,Grudger,Always Cooperate,Always Defect,Tit-4-Tat,Grudger,Always Cooperate,Always Defect,Total,Tit-4-Tat,Grudger,Always Cooperate,Always Defect,
0,1.0,0.0,1.0,98.0,407,0,15,50862,51284,407,0,15,519,
1,0.0,0.0,0.0,100.0,0,0,0,49500,49500,0,0,0,495,
2,0.0,0.0,0.0,100.0,0,0,0,49500,49500,0,0,0,495,
3,0.0,0.0,0.0,100.0,0,0,0,49500,49500,0,0,0,495,
4,0.0,0.0,0.0,100.0,0,0,0,49500,49500,0,0,0,495,
5,0.0,0.0,0.0,100.0,0,0,0,49500,49500,0,0,0,495,
6,0.0,0.0,0.0,100.0,0,0,0,49500,49500,0,0,0,495,
7,0.0,0.0,0.0,100.0,0,0,0,49500,49500,0,0,0,495,
8,0.0,0.0,0.0,100.0,0,0,0,49500,49500,0,0,0,495,
9,0.0,0.0,0.0,100.0,0,0,0,49500,49500,0,0,0,495,
10,0.0,0.0,0.0,100.0,0,0,0,49500,49500,0,0,0,495,
11,0.0,0.0,0.0,100.0,0,0,0,49500,49500,0,0,0,495,
12,0.0,0.0,0.0,100.0,0,0,0,49500,49500,0,0,0,495,
13,0.0,0.0,0.0,100.0,0,0,0,49500,49500,0,0,0,495,
14,0.0,0.0,0.0,100.0,0,0,0,49500,49500,0,0,0,495,
15,0.0,0.0,0.0,100.0,0,0,0,49500,49500,0,0,0,495,
16,0.0,0.0,0.0,100.0,0,0,0,49500,49500,0,0,0,495,
17,0.0,0.0,0.0,100.0,0,0,0,49500,49500,0,0,0,495,
18,0.0,0.0,0.0,100.0,0,0,0,49500,49500,0,0,0,495,
19,0.0,0.0,0.0,100.0,0,0,0,49500,49500,0,0,0,495,
