Generation,Tit-4-Tat,Grudger,Always Cooperate,Always Defect,Tit-4-Tat,Grudger,Always Cooperate,Always Defect,Total,Tit-4-Tat,Grudger,Always Cooperate,Always Defect,
0,25.0,25.0,25.0,25.0,30250,30250,27750,29875,118125,1210,1210,1110,1195,
1,26.0,27.0,22.0,25.0,31460,32670,24420,28675,117225,1210,1210,1110,1147,
2,27.0,29.0,19.0,25.0,32670,35090,21090,27475,116325,1210,1210,1110,1099,
3,29.0,30.0,19.0,22.0,36047,37290,21945,24442,119724,1243,1243,1155,1111,
4,31.0,31.0,19.0,19.0,39556,39556,22800,21337,123249,1276,1276,1200,1123,
5,32.0,33.0,19.0,16.0,41888,43197,23655,18160,126900,1309,1309,1245,1135,
6,34.0,34.0,19.0,13.0,45628,45628,24510,14911,130677,1342,1342,1290,1147,
7,35.0,36.0,19.0,10.0,48125,49500,25365,11590,134580,1375,1375,1335,1159,
8,37.0,37.0,19.0,7.0,52096,52096,26220,8197,138609,1408,1408,1380,1171,
9,39.0,38.0,19.0,4.0,56199,54758,27075,4732,142764,1441,1441,1425,1183,
10,41.0,39.0,19.0,1.0,60434,57486,27930,1195,147045,1474,1474,1470,1195,
11,44.0,39.0,17.0,0.0,65340,57915,25245,0,148500,1485,1485,1485,0,
12,46.0,38.0,16.0,0.0,68310,56430,23760,0,148500,1485,1485,1485,0,
13,44.0,39.0,17.0,0.0,65340,57915,25245,0,148500,1485,1485,1485,0,
14,44.0,39.0,17.0,0.0,65340,57915,25245,0,148500,1485,1485,1485,0,
15,45.0,38.0,17.0,0.0,66825,56430,25245,0,148500,1485,1485,1485,0,
16,44.0,38.0,18.0,0.0,65340,56430,26730,0,148500,1485,1485,1485,0,
17,44.0,37.0,19.0,0.0,65340,54945,28215,0,148500,1485,1485,1485,0,
18,44.0,37.0,19.0,0.0,65340,54945,28215,0,148500,1485,1485,1485,0,
19,44.0,38.0,18.0,0.0,65340,56430,26730,0,148500,1485,1485,1485,0,
